x,y,z
-10.51322,0.8664719,-8.544795
-11.355789,5.4048567,-5.8336782
-13.585505,8.155515,2.502456
-12.826326,8.270476,0.18210141
-13.984367,7.6801386,3.5970216
-12.679318,8.220949,-0.3564491
-12.199852,7.7881637,-2.2445967
-15.337059,6.0700836,5.493646
-15.603929,5.892165,5.5600185
-15.625472,5.358835,5.752402
-13.466911,8.195363,2.2333515
-9.725677,-3.528123,-8.524859
-11.313451,5.1927533,-6.046396
-10.532614,0.98039705,-8.503066
-6.80365,-9.272173,2.920418
0.10565063,10.258323,-1.5450865
11.237452,5.2241583,6.493567
3.865816,-4.28928,-8.6108055
1.8125749,4.112627,-9.373882
-1.425313,8.049346,5.8776712
-4.525834,-2.6358993,9.187805
0.9277946,8.088549,-6.374958
-0.4080962,10.197208,1.4900845
8.382862,-4.713567,8.04974
12.480287,7.416902,2.6087909
16.036148,1.2658939,-7.5900683
21.851887,-4.002592,4.0207486
19.702589,-4.9339848,-2.2119904
14.7354355,5.0154076,-6.06634
17.79984,-2.8996854,-6.2165713
0.11210713,10.249702,-1.5853084
-9.718032,-3.5670588,-8.514851
-21.901203,-5.1789255,-3.8141983
-16.119118,4.8270345,6.0073633
-12.408919,8.061466,-1.3874425
-12.13741,7.659089,-2.509779
-11.142057,4.2859693,-6.820768
-17.97708,1.3145919,5.70853
-17.722748,1.8220869,5.962783
-12.542361,8.154492,-0.86860734
