x,y,z
13.772939,0.051223435,7.183875
13.625571,-0.5770092,7.1302733
13.314403,-1.9768658,6.823045
12.976006,-3.5668561,6.085577
18.71349,6.416153,-0.19259667
17.650297,6.872761,1.5089108
19.815165,5.239513,-1.6453805
12.122252,-6.8404717,3.0205505
7.8295193,-0.33569023,-8.438446
6.3621545,3.9482827,-7.2838855
12.487301,-5.6806936,4.5198627
24.370617,-4.7705455,-4.1467423
24.513227,-6.770688,-2.8608174
24.288076,-6.9195333,-2.1631122
21.564674,2.6138911,-3.2406332
-15.825664,-7.210586,-1.2431599
-20.080807,-0.94110674,-4.689516
-22.379513,5.5582814,2.3767915
-13.263048,-3.9870176,5.451982
-10.495428,8.106736,4.406348
13.333019,-1.8171768,7.20333
0.29661298,-2.1507726,11.19761
1.3203073,4.161511,9.067775
-20.138935,-0.81016743,-4.653114
-22.08943,4.310655,-0.62446946
-22.14249,4.4656096,-0.448944
-19.716866,-1.7555996,-4.8896327
-9.789201,9.170753,1.7548492
-11.148531,5.2449646,6.3850546
-12.4857645,-0.9335145,6.9674244
7.1130486,1.8548335,-8.169439
10.206275,-6.914329,-4.701265
20.341541,4.5004086,-2.2380357
12.4931965,-5.659044,4.5431175
12.419304,-5.935217,4.266573
10.911617,-7.9045897,-2.165377
10.542492,-7.5171986,-3.517779
11.385218,-7.900764,-0.18932953
11.335213,-7.917466,-0.40383312
6.012229,4.8406763,-6.691877
12.871755,-4.0485015,5.800049
12.603497,-5.221485,4.9438567
12.983479,-3.5320437,6.104817
14.974438,4.087227,6.230727
14.190813,1.6791155,7.0579705
22.25216,0.91240406,-3.6461241
24.605589,-5.8662663,-3.8566368
24.250002,-6.9399104,-2.0512152
24.318726,-6.9034214,-2.2546215
23.73225,-2.970043,-4.0553403
-13.18015,-3.720579,5.6566806
-22.360643,5.527127,2.4373674
-21.854239,3.6288393,-1.3794158
-21.113394,1.5752606,-3.3901224
3.3878374,7.338319,1.2663873
3.7611144,6.7806616,0.07292244
-11.885716,1.9950904,8.313488
-18.378632,-4.3473997,-4.6286325
-15.099468,-8.164951,-0.06657559
-12.978859,-3.0464303,6.128179
-19.149538,-2.9188268,-4.9264083
-12.602745,-1.4552379,6.8044095
-13.780541,-5.4750857,4.0205503
-9.59325,9.495405,0.6350121
3.2246134,9.048428,1.3871574
7.526146,0.611222,-8.410426
23.134447,-1.3336815,-3.937273
14.630403,3.1494653,6.680013
17.574364,6.871998,1.6418453
9.679153,-5.426225,-6.495711
10.020568,-6.3599977,-5.501108
8.748089,-3.1736326,-7.885149
7.607756,0.3596828,-8.435406
4.2251415,8.584015,-2.1815596
1.7094436,5.300798,7.320956
1.5509444,4.7190075,7.894536
8.866227,-3.5156746,-7.72632
11.228277,-7.940468,-0.8583265
11.844461,-7.4688044,1.812006
15.194671,4.602737,5.900036
18.617336,6.491995,-0.052336775
24.501844,-5.2255664,-4.123884
24.533651,-6.743682,-2.9340405
24.274887,-6.926691,-2.1248126
16.013248,5.9691687,4.4935474
-16.254114,-7.038286,-2.0970645
-21.178738,1.753145,-3.2346268
-22.583609,5.721506,1.0325724
-12.78208,-2.3750684,6.5973034
-4.150806,-3.6096642,-6.2760878
-7.8867555,9.836853,0.44398913
-13.0525465,-6.4657516,5.4912176
-21.014912,1.1569113,-4.2810283
11.91024,-8.40333,2.1026309
6.2468457,4.355317,-7.302947
9.153849,-4.2502527,-7.3236437
-10.420769,8.114819,4.020704
10.5761175,-7.5633817,-3.4058807
9.946139,-6.0622997,-5.8470445
18.149172,6.7596407,0.6756441
23.996744,-3.7109451,-4.0975857
21.189573,3.0981536,-3.0255003
23.303919,-1.7823343,-3.978978
11.661533,-7.7336817,1.010415
12.461515,-5.782421,4.4264226
